record_id,source_sha256,source_sheet,source_row,source_number,company_name_raw,company_name_normalized,company_key,municipality_raw,municipality_normalized,state_raw,state_normalized,industrial_park_raw,industrial_park_normalized,address_raw,address_normalized,sector_note_raw,sector_note_normalized,source_url,research_status,commercial_state,outreach_eligible,quarantine_status,quarantine_reason,duplicate_candidate_group,qa_flags,raw_row_fingerprint
company_876bd6b865429292d43b,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,12,11,Parker Trutec Mexicana,Parker Trutec Mexicana,PARKERTRUTECMEXICANA,Irapuato,Irapuato,Guanajuato,Guanajuato,Parque Tecnoindustrial Castro del Río,Parque Tecnoindustrial Castro del Río,"Río Ota 628, C.P. 36814","Río Ota 628, C.P. 36814",Metal / tratamiento,Metal / tratamiento,,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,missing_source_url,f6e8db1be3876b99610e4c668f53b39ffca72ad13ac10e9f503092062d8db16e
company_6043b0f84eb403b0b835,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,13,12,SAGA TEKKOHSHO MEXICANA,SAGA TEKKOHSHO MEXICANA,SAGATEKKOHSHOMEXICANA,Irapuato,Irapuato,Guanajuato,Guanajuato,Parque Tecnoindustrial Castro del Río,Parque Tecnoindustrial Castro del Río,"Río Ota 631, C.P. 36814","Río Ota 631, C.P. 36814",Automotriz,Automotriz,,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,missing_source_url,cd10fe720a3816e5dfb3ecbd33a4a8eb401e1bfb8792caea9a1d45080e3a3015
company_70343fa22e8dc123035a,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,14,13,"OKAWA Mexicana, S.A. de C.V.","OKAWA Mexicana, S.A. de C.V.",OKAWAMEXICANASADECV,Irapuato,Irapuato,Guanajuato,Guanajuato,Castro del Río,Castro del Río,"Río Ota 981, C.P. 36810","Río Ota 981, C.P. 36810",Automotriz / forja,Automotriz / forja,https://www.okawa.mx/,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,,c4390a0ae621b347f6516d799a2355153c33ffa22414d60de656371c95280d73
company_71057b21b173d9dfa760,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,15,14,Metso Mexico - Screening Media Factory - IRA4,Metso Mexico - Screening Media Factory - IRA4,METSOMEXICOSCREENINGMEDIAFACTORYIRA4,Irapuato,Irapuato,Guanajuato,Guanajuato,Guanajuato Central Park,Guanajuato Central Park,"Lote Guanajuato, C.P. 36827","Lote Guanajuato, C.P. 36827",Manufactura,Manufactura,,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,missing_source_url,fbcdb50fde4d8afdb004c60fd007518089209c6b1f79184d286fc51375912248
company_5bba840f0f98d05f009f,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,16,15,Conecel Manufacturera S.A. de C.V.,Conecel Manufacturera S.A. de C.V.,CONECELMANUFACTURERASADECV,Celaya,Celaya,Guanajuato,Guanajuato,Ciudad Industrial de Celaya,Ciudad Industrial de Celaya,"Oriente 5 #124, C.P. 38010","Oriente 5 #124, C.P. 38010",Manufactura,Manufactura,,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,missing_source_url,39948c77f742e687d620fa68de3114c93695a91edc3e8be3e438e889f7e7094c
company_aefea69b049178479f96,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,17,16,Motherson Yachiyo México Automotive S.A. de C.V.,Motherson Yachiyo México Automotive S.A. de C.V.,MOTHERSONYACHIYOMEXICOAUTOMOTIVESADECV,Apaseo el Grande,Apaseo el Grande,Guanajuato,Guanajuato,Parque Industrial Amistad Bajío,Parque Industrial Amistad Bajío,"Av. Apaseo el Grande 106, C.P. 38160","Av. Apaseo el Grande 106, C.P. 38160",Automotriz,Automotriz,,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,missing_source_url,00b614f47d498b4d1cb36c10920e6e76a723fac0e1d66f72b83bef4878939655
company_93cbd25596d69a88f6b3,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,18,17,Witzenmann Metal Products México,Witzenmann Metal Products México,WITZENMANNMETALPRODUCTSMEXICO,Apaseo el Grande,Apaseo el Grande,Guanajuato,Guanajuato,Parque Industrial Amistad Bajío,Parque Industrial Amistad Bajío,"Av. La Cruz 101, C.P. 38180","Av. La Cruz 101, C.P. 38180",Automotriz / metal,Automotriz / metal,https://www.witzenmann.com.mx/es/empresas/witzenmann-metal-products-mexico/,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,,57c53ae158262ff7a8dbb08a4f6c789aeaa7cf842bf9979d5c05b65a02714a88
company_6d1e907547e9d6794acd,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,19,18,Grupo Ameristeel S.A. de C.V. AMEX,Grupo Ameristeel S.A. de C.V. AMEX,GRUPOAMERISTEELSADECVAMEX,Apaseo el Grande,Apaseo el Grande,Guanajuato,Guanajuato,Amexhe,Amexhe,"Carretera Querétaro-Celaya Km. 19.5, Poblado de Amexhe","Carretera Querétaro-Celaya Km. 19.5, Poblado de Amexhe",Acero estructural / manufactura,Acero estructural / manufactura,https://www.grupoameristeel.com/contacto.html,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,,cf124eda6f99b7e26ed3c221bfc474970c1b095e4f06aaba55b2d987a0658f1a
company_b3d4a3926e4efd01ec6a,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,20,19,WELDCOAT de México,WELDCOAT de México,WELDCOATDEMEXICO,Santa Rosa Jáuregui,Santa Rosa Jáuregui,Querétaro,Querétaro,Polígono Empresarial Santa Rosa,Polígono Empresarial Santa Rosa,"Av. Hércules No. 200, C.P. 76220","Av. Hércules No. 200, C.P. 76220",Recubrimientos / automotriz,Recubrimientos / automotriz,https://www.jetro.go.jp/world/cs_america/mx/autoparts/companies/490_Weldcoat.html,UNVERIFIED_SEED,RESEARCH_SEED,false,QUARANTINED,possible_duplicate_requires_human_resolution,dup_ecf591ad2d184e8a9bf3,possible_duplicate,c8a38055aa11f5a7d0a4ffa30b0d7daffd88d24bfb8ec0d6f81db32a7d23dd2f
company_42d4b2057fff09238dbf,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,21,20,Juntas Especiales Querétaro,Juntas Especiales Querétaro,JUNTASESPECIALESQUERETARO,Santiago de Querétaro,Santiago de Querétaro,Querétaro,Querétaro,Zona Santa Rosa Jáuregui,Zona Santa Rosa Jáuregui,"Av. Hércules 31, C.P. 76220","Av. Hércules 31, C.P. 76220",Industrial,Industrial,,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,missing_source_url,e2c5592edaebac7026ba3f0c4202d33807b3a02a6e3ecf8219410974c479ecbd
company_5836a86db42a12a7c23d,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,22,21,Avery Dennison Smartrac,Avery Dennison Smartrac,AVERYDENNISONSMARTRAC,Santa Rosa Jáuregui,Santa Rosa Jáuregui,Querétaro,Querétaro,FINSA III,FINSA III,"Av. Finsa No. 206, C.P. 76223","Av. Finsa No. 206, C.P. 76223",Manufactura / etiquetas RFID,Manufactura / etiquetas RFID,,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,missing_source_url,f618789874709d0383b888502074c4fb79bbe3d5540b75094757da6df86addd2
company_4b0ed8005d6008e2fb25,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,23,22,Tuvanosa,Tuvanosa,TUVANOSA,Santiago de Querétaro,Santiago de Querétaro,Querétaro,Querétaro,Zona Querétaro,Zona Querétaro,"Guadalupe San Vidaño 5 Los Ángeles, C.P. 76908","Guadalupe San Vidaño 5 Los Ángeles, C.P. 76908",Suministro industrial,Suministro industrial,,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,missing_source_url,6db8e1a168ccf0828749a044b2055d3c6d0ee2bedb11f98c335407db20da46f7
company_a511992d1886a5f69005,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,24,23,Instituto de Educación y Desarrollo Richard E. Dauch IECA - AAM,Instituto de Educación y Desarrollo Richard E. Dauch IECA - AAM,INSTITUTODEEDUCACIONYDESARROLLORICHARDEDAUCHIECAAAM,Silao,Silao,Guanajuato,Guanajuato,Por verificar,Por verificar,Por verificar,Por verificar,Capacitación / educación,Capacitación / educación,,UNVERIFIED_SEED,RESEARCH_SEED,false,QUARANTINED,incomplete_location_requires_human_verification,,missing_source_url|location_verification_required,0ea592c6f6b7246c02aafe8604eb8406073c357057200b26bf63c91e62e6cf42
company_defa1fee564b9ab7a090,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,25,24,Agrícola Zarattini S.A. de C.V.,Agrícola Zarattini S.A. de C.V.,AGRICOLAZARATTINISADECV,Silao,Silao,Guanajuato,Guanajuato,Por verificar,Por verificar,Por verificar,Por verificar,Agrícola,Agrícola,,UNVERIFIED_SEED,RESEARCH_SEED,false,QUARANTINED,incomplete_location_requires_human_verification,,missing_source_url|location_verification_required,9806cacb6d859f78c896924aff3f47996562a711737a87871bdeee70aab07b9c
company_d2fac24f0cc0806d8cfb,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,26,25,Mitsui Kinzoku,Mitsui Kinzoku,MITSUIKINZOKU,Irapuato,Irapuato,Guanajuato,Guanajuato,Por verificar,Por verificar,Por verificar,Por verificar,Industrial / metal,Industrial / metal,,UNVERIFIED_SEED,RESEARCH_SEED,false,QUARANTINED,incomplete_location_requires_human_verification,,missing_source_url|location_verification_required,b802704ffd062976a2571034a6a27b97bfc69cca3d30fc35d357b15adf575aca
company_21b72f55e5b5303394e4,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,27,26,4AP de México,4AP de México,4APDEMEXICO,Por verificar,Por verificar,Por verificar,Por verificar,Por verificar,Por verificar,Por verificar,Por verificar,Industrial,Industrial,,UNVERIFIED_SEED,RESEARCH_SEED,false,QUARANTINED,incomplete_location_requires_human_verification,,missing_source_url|location_verification_required,1f579e431633d0ee0ebfe9fc26ec9f2e9d7e7c6fd52bdc822dadf0b31ab7d662
company_baa96500be2996d3ddc9,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,28,27,HEWELDCOAT de México,HEWELDCOAT de México,HEWELDCOATDEMEXICO,Por verificar,Por verificar,Querétaro,Querétaro,Por verificar,Por verificar,Por verificar,Por verificar,Posible duplicado/relación con WELDCOAT; validar,Posible duplicado/relación con WELDCOAT; validar,,UNVERIFIED_SEED,RESEARCH_SEED,false,QUARANTINED,possible_duplicate_requires_human_resolution,dup_ecf591ad2d184e8a9bf3,missing_source_url|location_verification_required|possible_duplicate,7d6dca0a83d88b1e569cba61c068e4808e4b67d7355c53d907da201c93b87f2d
